ll,mm,leak =          196         116  -0.00108895
ll,mm,leak =          196         117      0.00000
ll,mm,leak =          196         118   0.00518464
ll,mm,leak =          196         119      0.00000
ll,mm,leak =          196         120 -1.44536e-05
ll,mm,leak =          196         121      0.00000
ll,mm,leak =          196         122 -0.000104253
ll,mm,leak =          196         123      0.00000
ll,mm,leak =          196         124 -0.000103922
ll,mm,leak =          197         116      0.00000
ll,mm,leak =          197         117  -0.00925582
ll,mm,leak =          197         118      0.00000
ll,mm,leak =          197         119  0.000750379
ll,mm,leak =          197         120      0.00000
ll,mm,leak =          197         121 -0.000418409
ll,mm,leak =          197         122      0.00000
ll,mm,leak =          197         123  0.000254110
ll,mm,leak =          197         124      0.00000
ll,mm,leak =          198         116   0.00593752
ll,mm,leak =          198         117      0.00000
ll,mm,leak =          198         118    0.0283531
ll,mm,leak =          198         119      0.00000
ll,mm,leak =          198         120  -0.00874667
ll,mm,leak =          198         121      0.00000
ll,mm,leak =          198         122  0.000266158
ll,mm,leak =          198         123      0.00000
ll,mm,leak =          198         124 -0.000286786
ll,mm,leak =          199         116      0.00000
ll,mm,leak =          199         117   0.00108152
ll,mm,leak =          199         118      0.00000
ll,mm,leak =          199         119   -0.0510699
ll,mm,leak =          199         120      0.00000
ll,mm,leak =          199         121    0.0139129
ll,mm,leak =          199         122      0.00000
ll,mm,leak =          199         123  0.000919060
ll,mm,leak =          199         124      0.00000
ll,mm,leak =          200         116  -0.00282287
ll,mm,leak =          200         117      0.00000
ll,mm,leak =          200         118   -0.0131270
ll,mm,leak =          200         119      0.00000
ll,mm,leak =          200         120    0.0685053
ll,mm,leak =          200         121      0.00000
ll,mm,leak =          200         122   -0.0126756
ll,mm,leak =          200         123      0.00000
ll,mm,leak =          200         124  -0.00239264
ll,mm,leak =          201         116      0.00000
ll,mm,leak =          201         117   0.00184634
ll,mm,leak =          201         118      0.00000
ll,mm,leak =          201         119    0.0246557
ll,mm,leak =          201         120      0.00000
ll,mm,leak =          201         121   -0.0730571
ll,mm,leak =          201         122      0.00000
ll,mm,leak =          201         123   0.00544512
ll,mm,leak =          201         124      0.00000
ll,mm,leak =          202         116 -0.000175518
ll,mm,leak =          202         117      0.00000
ll,mm,leak =          202         118  0.000631474
ll,mm,leak =          202         119      0.00000
ll,mm,leak =          202         120   -0.0296579
ll,mm,leak =          202         121      0.00000
ll,mm,leak =          202         122    0.0629358
ll,mm,leak =          202         123      0.00000
ll,mm,leak =          202         124   0.00367948
ll,mm,leak =          203         116      0.00000
ll,mm,leak =          203         117  0.000239381
ll,mm,leak =          203         118      0.00000
ll,mm,leak =          203         119  -0.00251247
ll,mm,leak =          203         120      0.00000
ll,mm,leak =          203         121    0.0256207
ll,mm,leak =          203         122      0.00000
ll,mm,leak =          203         123   -0.0431360
ll,mm,leak =          203         124      0.00000
ll,mm,leak =          204         116 -0.000101988
ll,mm,leak =          204         117      0.00000
ll,mm,leak =          204         118 -0.000434617
ll,mm,leak =          204         119      0.00000
ll,mm,leak =          204         120   0.00238114
ll,mm,leak =          204         121      0.00000
ll,mm,leak =          204         122   -0.0150544
ll,mm,leak =          204         123      0.00000
ll,mm,leak =          204         124    0.0221473
